10017	-28		1
10024	-16		0
10025	-16		0
10031	-28		0
10034	-5 		0
10035	-16		0
10036	-16		0
10038	-8		0
10043	-28		1
10044	-16		0
10045	-16		0
10051	-44		1
10052	-44		1
10053	-16		0
10054	-16		0
10055	-16		0
10056	-16		0
10102	-28		0
10103	-16		0
10104	-16		0
10110	-43		0
10111	-43		0
10112	-16		0
10113	-16		0
10114	-16		0
10115	-16		0
50013	-5		-5
50014	-10		-5
50015	-15		-5
30017	5		0
10206	-17		0
10207	-17		0
10208	-17		0
10209	-17		0
10210	-1		0
10211	-1		0
10097	-44		1
10199	-44		1
10216	-44		1
10217	-44		1
10200	-16		0
10201	-16		0
10202	-16		0
10203	-16		0
10072	-16		0
10073	-16		0
10080	-28		1
10075	-17		0
10076	-17		0
10077	-1		0
10071	-28		0
10227	-8		0
10226	-7		0
10221	-9		0
10220	-7		0
10232	-5		0
10233	-8		0
10234	-1		0
10092	-28		0
10084	-16		0
10085	-16		0
